a.ecor,1,2,3,4,5,6,7,8,9,10,11,12
68,6404738928.0,6404738928.0,6404738928.0,6404738928.0,6404738928.0,6404738928.0,6404738928.0,6404738928.0,6404738928.0,6404738928.0,6404738928.0,6404738928.0
69,142877467832.0,142877467832.0,142877467832.0,142877467832.0,142877467832.0,142877467832.0,142877467832.0,142877467832.0,142877467832.0,142877467832.0,142877467832.0,142877467832.0
70,963341400.0,963341400.0,963341400.0,963341400.0,963341400.0,963341400.0,963341400.0,963341400.0,963341400.0,963341400.0,963341400.0,963341400.0
71,211943232.0,211943232.0,211943232.0,211943232.0,211943232.0,211943232.0,211943232.0,211943232.0,211943232.0,211943232.0,211943232.0,211943232.0
72,3016848736.0,3016848736.0,3016848736.0,3016848736.0,3016848736.0,3016848736.0,3016848736.0,3016848736.0,3016848736.0,3016848736.0,3016848736.0,3016848736.0
73,139699376.0,139699376.0,139699376.0,139699376.0,139699376.0,139699376.0,139699376.0,139699376.0,139699376.0,139699376.0,139699376.0,139699376.0
74,74073608.0,74073608.0,74073608.0,74073608.0,74073608.0,74073608.0,74073608.0,74073608.0,74073608.0,74073608.0,74073608.0,74073608.0
76,54905782664.0,54905782664.0,54905782664.0,54905782664.0,54905782664.0,54905782664.0,54905782664.0,54905782664.0,54905782664.0,54905782664.0,54905782664.0,54905782664.0
77,964896272.0,964896272.0,964896272.0,964896272.0,964896272.0,964896272.0,964896272.0,964896272.0,964896272.0,964896272.0,964896272.0,964896272.0
78,19018469576.0,19018469576.0,19018469576.0,19018469576.0,19018469576.0,19018469576.0,19018469576.0,19018469576.0,19018469576.0,19018469576.0,19018469576.0,19018469576.0
79,296748176.0,283087808.0,296748176.0,296748176.0,296748176.0,296748176.0,296748176.0,296748176.0,296748176.0,296748176.0,296748176.0,296748176.0
80,673975720.0,673975720.0,673975720.0,673975720.0,673975720.0,673975720.0,673975720.0,673975720.0,673975720.0,673975720.0,673975720.0,673975720.0
81,2152859216.0,2152859216.0,2152859216.0,2152859216.0,2152859216.0,2152859216.0,2152859216.0,2152859216.0,2152859216.0,2152859216.0,2152859216.0,2152859216.0
82,380893464.0,380893464.0,380893464.0,380893464.0,380893464.0,380893464.0,380893464.0,380893464.0,380893464.0,380893464.0,380893464.0,380893464.0
