b.country,b.state,b.city,b.latitude,b.longitude,bit_capacity_min,bit_load_min,bit_capacity_mean,bit_load_mean,bit_capacity_max,bit_load_max,bit_capacity_std,flit_capacity_min,flit_load_min,flit_capacity_mean,flit_load_mean,flit_capacity_max,flit_load_max,flit_capacity_std,a.ecor,region
Switzerland,,WINTERTHUR,47.5,8.75,1900000000,1508912,1900000000.0,5825323.32633037,1900000000,85176304,0.0,576000000,5254944,764443251.5525799,10983826.77132633,768000000,158294448,25485775.714464907,116,CH
Switzerland,,ZUCHWIL,47.2,7.57,950000000,0,950000000.0,68521086.64896686,950000000,270313104,0.0,0,0,239041080.4220247,19023916.208241947,240000000,113268456,14762181.0831989,117,CH
Switzerland,,ZUG,47.17,8.52,950000000,8861528,950000000.0,206204678.25649312,950000000,701220704,0.0,480000000,4696640,716921900.8260418,55278282.25510793,720000000,186026288,26582927.287115704,118,CH
Switzerland,,ZURICH,47.37,8.55,300000000000,3522355544,342545099849.9365,24454163136.067413,358800000000,73891916736,16612843734.411451,61244305728,2300776984,86183431929.37689,8114643377.825695,91702000904,21587359040,4275997321.802495,119,CH
Ukraine,,KIEV,50.43,30.52,0,22168400,9043149024.587326,6577940955.422371,9120000000,9372106576,833699619.7351748,0,39288448,5116440629.194506,1462501950.870599,5184000000,2451881160,486735548.79327965,120,UA
United Kingdom,EN,BASILDON,51.57,0.47,20000000000,1256906288,20000000000.0,9460185878.941706,20000000000,20325903072,0.0,11720464992,405524648,14031440179.087152,3063240042.537689,14097604608,6550494096,320734722.186959,121,GB
United Kingdom,EN,BASINGSTOKE,51.27,-1.08,69200000000,2247651288,88381438300.81958,21142064161.738888,88800000000,62119849576,2833644699.976396,20655969392,780935944,26136374473.71303,5719589729.694563,26544000000,16061989776,995800259.175748,122,GB
United Kingdom,EN,BIRMINGHAM,52.47,-1.92,206400000000,5833177088,212345838624.03323,41498900112.50144,284800000000,99705491560,20756938255.443405,35542816736,1854164072,43517612345.73242,9703532186.173843,60936002560,23396205184,5126751914.052808,123,GB
United Kingdom,EN,BRENTFORD,51.5,-0.32,78400000000,1559540192,78400000000.0,11427750858.121204,78400000000,27986380688,0.0,19017762408,963860296,21815842366.000694,3519297979.521182,22392002560,8548206504,483765758.1750905,124,GB
United Kingdom,EN,BRISTOL,51.45,-2.58,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,125,GB
