b.country,b.state,b.city,b.latitude,b.longitude,bit_capacity_min,bit_load_min,bit_capacity_mean,bit_load_mean,bit_capacity_max,bit_load_max,bit_capacity_std,flit_capacity_min,flit_load_min,flit_capacity_mean,flit_load_mean,flit_capacity_max,flit_load_max,flit_capacity_std,region
Canada,ON,LONDON,42.98,-81.25,950000000,2688296,950000000.0,39103240.35830544,950000000,272154944,0.0,640800000,11598800,956435721.5634307,115825702.91769595,961200000,538672192,37846975.86267928,CA-ON
Canada,ON,MISSISSAUGA,43.15,-79.5,19600000000,324035072,19604040170.84151,11357712394.481358,26600000000,19764409648,168131305.82576865,5683196784,348054072,7615184507.294009,3453219665.611451,7680000000,6140232008,184041783.3316245,CA-ON
Canada,ON,NORTHBAY,46.3,-79.45,9800000000,1466256,9800000000.0,2534854.6563546117,9800000000,15869008,0.0,960000000,2285424,1196974943.9833777,3228428.9562507216,1200000000,22072680,26319341.691333935,CA-ON
Canada,ON,OTTAWA,45.42,-75.7,9800000000,34059928,18983469929.585594,441509481.5966755,19600000000,1132368664,2379609003.3373847,159600000,71211000,1369408554.8165762,355626664.8523606,1598400000,871292448,336979478.8671798,CA-ON
Canada,ON,PORTPERRY,44.1,-78.93,950000000,2005320,950000000.0,29683881.424910538,950000000,159566680,0.0,16,12943464,159379114.2329447,33376815.57705183,159600000,131902312,5663974.848857699,CA-ON
Canada,ON,RIPLEY,44.07,-81.58,95000000,0,95000000.0,59599049.42398707,95000000,195036640,0.0,0,0,158306601.19681403,59893148.05309939,159600000,130626392,14145036.501472408,CA-ON
Canada,ON,SUDBURY,46.5,-80.97,10750000000,9004840,10750000000.0,168269329.996537,10750000000,465703160,0.0,960000000,9065240,1576441764.5028281,81538171.58397783,1584000000,264001496,45120828.712970585,CA-ON
Canada,ON,TIVERTON,44.27,-81.53,950000000,0,950000000.0,37958199.87902574,950000000,137584296,0.0,0,0,239668491.04744315,12516983.82177075,240000000,122118856,7454246.713041042,CA-ON
Canada,ON,TORONTO,43.67,-79.42,372800000000,7571695888,408479152718.4578,42502605157.45862,413000000000,82670285784,8073487657.341095,105640297328,7004874456,125688908986.4278,22858358689.711185,131325083576,38831542296,4847278282.731496,CA-ON
Canada,ON,WINDSOR,42.33,-83.03,950000000,9964008,950000000.0,85488441.17834468,950000000,472275000,0.0,1847288,25565368,316942945.4064412,97820383.23998615,319200000,225507392,19311545.405270964,US-MIDW-MISO
