b.country,b.state,b.city,b.latitude,b.longitude,bit_capacity_min,bit_load_min,bit_capacity_mean,bit_load_mean,bit_capacity_max,bit_load_max,bit_capacity_std,flit_capacity_min,flit_load_min,flit_capacity_mean,flit_load_mean,flit_capacity_max,flit_load_max,flit_capacity_std,a.ecor,region
Oman,,MASQAT,23.61,58.59,38132000000,381447392,43185311324.0217,1921730458.8747547,49000000000,4179139160,4867572024.997156,9139207728,175209784,11665634091.02805,669764434.0602562,12999598592,2047024184,1135364545.5239444,109,OM
Philippines,,CEBU,10.31,123.89,19600000000,238180840,19600000000.0,3700029981.349648,19600000000,8168378304,0.0,0,260872872,6192554718.23156,1471359628.032783,6360000000,3255610840,459442031.57267284,110,PH-VI
Philippines,,MAKATI,14.57,121.03,101800000000,612557848,120063147870.25279,13432053736.06649,122350000000,20211999448,5489625008.669598,13631997040,722888920,28600347148.2184,7238668031.4034395,30015600000,15023110576,1640594336.651066,111,PH-LU
Philippines,,MANDALUYONG,14.58,121.03,78400000000,31176152,92427473161.72226,12058471762.145216,98000000000,18664034744,8841803829.823303,659996032,257334256,15386608182.51691,5858586027.009581,17099996032,10101063064,2241608204.3350744,112,PH-LU
Philippines,,MANILA,14.58,121.0,7600000000,183955712,11339466697.448921,1137543603.5414984,11400000000,2137565016,475802902.230755,1593093160,246379728,2556001076.9617915,831776183.2409096,2704000000,1588230120,143703482.7474164,113,PH-LU
Philippines,,PAMPANGA,15.18,120.54,9800000000,18731696,9800000000.0,160139079.0931548,9800000000,366872560,0.0,1033008,10256008,601470502.5907884,81210813.71995844,720000000,227000872,127861185.79495496,114,PH-LU
Philippines,,PASIG,14.58,121.08,950000000,0,950000000.0,4265798.5538497055,950000000,70890040,0.0,0,0,158076594.06302667,16283053.260071568,159600000,129009464,15337340.593681315,115,PH-LU
Philippines,,QUEZONCITY,14.63,121.03,82200000000,2012844368,82200000000.0,15698890640.052637,82200000000,22078819104,0.0,18834172376,1171345840,25824785819.66155,6789323587.966293,26160000000,11808269056,1108866408.2928011,116,PH-LU
Philippines,,SAMPALOC,14.62,121.0,0,0,7901419831.467159,316202208.1043518,10000000000,1295387328,4072306136.9074025,0,0,1390053847.4782407,411678538.1738428,2400000000,1108060160,900339573.098083,117,PH-LU
Philippines,,SANJUAN,14.6,121.02,19600000000,0,19600000000.0,906206105.7268845,19600000000,1861467120,0.0,0,0,1431914933.9489784,399645213.01073533,1544000000,768767520,167635548.9971001,118,PH-LU
Qatar,,DOHA,25.29,51.53,68600000000,3261622320,68600000000.0,8349222599.684175,68600000000,13368223392,0.0,10743598592,1271128552,13425419273.366732,3402443580.5453076,13493998592,5013656480,311808034.0272929,119,QA
Singapore,,BEDOK,1.33,103.94,82200000000,3676050472,101168763707.7225,20185773826.549694,101800000000,39190211336,3460513604.274583,13202400000,2057828816,26440632158.28327,8574184626.349301,31586400000,15624359808,3263251824.0174046,120,SG
Singapore,,SINGAPORE,1.29,103.86,287272000000,10514145864,428343487937.2042,43661170089.2513,444072000000,85358100624,27071423490.703915,73982453896,8494108824,102980762515.94414,25920581439.915043,117653107752,44213948648,4509556678.142492,121,SG
Singapore,,TAISENG,1.34,103.9,4882000000,60658880,16198437723.652315,263863189.0652199,42122000000,879512392,13162769016.666574,4718577152,120951080,8331188162.412097,332745400.3102851,8483576192,928095192,154595238.1470958,122,SG
South Korea,,CHUNGBUK,36.27,128.57,1900000000,36225120,1900000000.0,273772035.3004733,1900000000,708158880,0.0,1922400000,27118448,2554801125.5832853,110917726.6055639,2563200000,262117776,65085095.43892991,123,KR
South Korea,,PYONGTAEK,36.99,127.09,950000000,0,950000000.0,0.0,950000000,0,0.0,0,0,0.0,0.0,0,0,0.0,124,KR
South Korea,,SEOUL,37.57,127.0,414800000000,9177016096,803023975066.3743,56135502331.013275,816300000000,112122074328,32936155765.845284,84297374088,6181053752,122565699572.52776,17216158827.918274,127157787008,29333740544,3668070326.427954,125,KR
South Korea,,YONGDONG,36.92,126.98,411600000000,3535209192,411600000000.0,25532872310.7053,411600000000,60946733752,0.0,19403601416,1414892248,24130687739.926586,5070705068.542538,25073763968,8669472696,649297895.7717618,126,KR
Sri Lanka,,COLOMBO,6.93,79.85,13300000000,97282456,17081138173.84278,1409203279.6749394,17100000000,2960207808,267071908.81861272,3543645864,370332384,6417549915.890569,1460949381.491862,6488192000,2357644336,190550889.78934687,127,LK
